Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,5217.6
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,5168.1
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,4753.1
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,3957.5
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,3006.8
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,2741.8
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,2508.7
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,2562.9
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,2272.2
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1957.8
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1948.1
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1788.9
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1475.5
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1053.0
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,789.1
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,656.6
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,665.8
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,671.1
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1737.3
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1687.9
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1535.9
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1279.0
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1033.5
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1114.2
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1085.8
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1116.0
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,909.9
